rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,offense_source,offense_factor,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note
1,Gavin Williams,668909,CLE,R,CIN,CLE@CIN,6:10 PM CT,2026-07-28T23:10:00Z,ok,prior:2026-07-26,6.015873015873016,24,2.6666666666666665,season_avg,starter,25.8249837767925,23.552860108881806,7.503394831654596,6.465053841139219,2.324248539911325,9,9,1.0,24,,24,2.635884011135615,1.4248021681814136,11.113456911815026,2.9881546459992756,low,elev_hr,1.0,,11.0,14.85,6.666666666666667,9.926190476190476,0.3,22.96511627906977,0.24512768729918172,recent,1.0052786091947523,1185,762,"682829,668715,668709,553993,663993,667472,682622,624431,663647",Elly De La Cruz; Spencer Steer; JJ Bleday; Eugenio Suárez; Nathaniel Lowe; Dane Myers; Noelvi Marte; Jose Trevino; Ke'Bryan Hayes,,False,,2,0.9642857142857143,elite,,"arsenal K% 25.8 (#2/28, elite, opp K% 23.0)"
2,Troy Melton,675512,DET,R,BAL,BAL@DET,5:40 PM CT,2026-07-28T22:40:00Z,ok,prior:2026-07-27,6.0,24,2.6666666666666665,season_avg,starter,23.688329045614704,25.53773889264928,6.544061170255555,5.652230243222221,2.131949614105323,9,9,1.0,24,,24,2.85,1.2,8.25,3.913313833624125,low,elev_hr,1.0,,7.666666666666667,12.9375,5.333333333333333,8.625,0.3,23.24159021406728,0.2375460594527296,recent,1.0126279547627723,523,358,"687637,624413,683002,621493,665750,702616,691723,669236,644433",Dylan Beavers; Pete Alonso; Gunnar Henderson; Taylor Ward; Leody Taveras; Jackson Holliday; Coby Mayo; Jeremiah Jackson; Chadwick Tromp,,False,,8,0.75,strong,,"arsenal K% 23.7 (#8/28, strong, opp K% 23.2)"
3,Chris Sale,519242,ATL,L,NYM,ATL@NYM,6:10 PM CT,2026-07-28T23:10:00Z,ok,prior:2026-07-27,5.842105263157895,24,2.6666666666666665,season_avg,starter,23.20918777585412,27.412930290583436,6.282254373848058,5.531979932564896,2.0888268998268704,9,9,1.0,24,,24,2.108108108108108,0.6486486486486487,10.864864864864865,3.038285721301496,clear,,1.0,,7.333333333333333,12.375,5.333333333333333,8.032894736842104,0.3,23.275862068965516,0.27306933879209305,recent,0.9934842774574523,439,1333,"805999,596019,666182,673357,682626,676724,621438,543760,620443",A.J. Ewing; Francisco Lindor; Bo Bichette; Luis Robert Jr.; Francisco Alvarez; Jared Young; Tyrone Taylor; Marcus Semien; Luis Torrens,,False,,9,0.7142857142857143,strong,,"arsenal K% 23.2 (#9/28, strong, opp K% 23.3)"
4,Gerrit Cole,543037,NYY,R,CWS,NYY@CWS,6:40 PM CT,2026-07-28T23:40:00Z,ok,prior:2026-07-27,5.467272727272728,22,2.4444444444444446,season_avg,starter,25.414802126836296,29.649663453407747,6.177853047207225,5.795611831881347,2.2873321914152664,9,9,1.0,22,,22,1.7419354838709677,1.596774193548387,9.580645161290322,3.714456209275992,medium,"high_hr,exit_hr",0.97,exit_hr,8.333333333333334,11.63793103448276,6.444444444444444,7.069749216300941,0.3,25.54517133956386,0.24984222422375255,recent,1.0323562470819205,626,312,"545341,808959,678246,695657,805367,695731,677592,700337,682668",Randal Grichuk; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Chase Meidroth; Braden Montgomery; Everson Pereira; Edgar Quero; Luisangel Acuña,,False,,3,0.9285714285714286,elite,,"arsenal K% 25.4 (#3/28, elite, opp K% 25.5)"
5,Brandon Pfaadt,694297,AZ,R,PIT,AZ@PIT,5:40 PM CT,2026-07-28T22:40:00Z,ok,prior:2026-07-27,6.875,30,3.3333333333333335,season_start_est,swingman,24.704519786434417,26.6285374755963,6.1679132974852315,7.750590424978902,2.2234067807790976,9,9,1.0,30,,30,2.769231013010261,1.1076924052041044,6.230769779273087,4.533763982241088,low,elev_xfip,1.0,,2.0,3.2400000000000007,5.5555555555555545,2.4750000000000005,0.3,29.49852507374631,0.237117830177111,recent,1.07,543,473,"663968,664040,668804,699013,656811,693304,694378,682997,680779",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Nick Gonzales; Jacob Gonzalez; Tyler Callihan; Henry Davis,,True,"K9 6.2, soft L3 2.0, elev_xFIP 4.53",7,0.7857142857142857,strong,MATCHUP_OK,"soft-contact profile (K9 6.2, soft L3 2.0, elev_xFIP 4.53) but arsenal K% 24.7 (#7/28, strong, opp K% 29.5) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds; also swingman — fade full-outing chalk"
6,Sandy Alcantara,645261,MIA,R,PHI,PHI@MIA,5:40 PM CT,2026-07-28T22:40:00Z,ok,prior:2026-07-27,6.53030303030303,27,3.0,season_avg,starter,21.829171936087917,23.118573356951778,6.127088589855664,6.234152530962638,1.9646254742479123,9,9,1.0,27,,27,2.380510609390762,1.064965272622183,6.890951764025891,4.196211652972705,clear,,1.0,,6.0,8.1,6.666666666666667,5.877272727272727,0.3,27.43362831858407,0.24318706797474124,recent,1.0577338382776091,1341,819,"607208,656941,547180,669016,664761,681082,592663,687282,702222",Trea Turner; Kyle Schwarber; Bryce Harper; Brandon Marsh; Alec Bohm; Bryson Stott; J.T. Realmuto; Gabriel Rincones Jr.; Justin Crawford,,False,,13,0.5714285714285714,avg,,"arsenal K% 21.8 (#13/28, avg, opp K% 27.4)"
7,Reid Detmers,672282,LAA,L,HOU,HOU@LAA,8:38 PM CT,2026-07-29T01:38:00Z,ok,prior:2026-07-27,5.714285714285714,23,2.5555555555555554,season_avg,starter,25.24575953335516,29.961210986706956,6.040749408490468,5.595036865722853,2.2721183580019644,9,9,1.0,23,,23,2.7750001764297596,0.9750000619888345,10.200000648498577,3.672245954151384,clear,,1.0,,6.333333333333333,11.152173913043478,5.111111111111111,7.080745341614906,0.3,23.099415204678362,0.23904537700438255,recent,1.0101683175013907,492,1472,"665161,670541,670623,664774,514888,666211,572233,828599,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; LaMonte Wade Jr.; Jose Altuve; Taylor Trammell; Christian Walker; Lucas Spence; Christian Vázquez,,False,,4,0.8928571428571429,elite,,"arsenal K% 25.2 (#4/28, elite, opp K% 23.1)"
8,Peter Lambert,663567,HOU,R,LAA,HOU@LAA,8:38 PM CT,2026-07-29T01:38:00Z,ok,prior:2026-07-27,5.764705882352941,24,2.6666666666666665,season_avg,starter,22.555423985429755,25.360095537906577,5.910227306533519,5.69808382726077,2.029988158688678,9,9,1.0,24,,24,3.489795918367347,1.010204081632653,8.63265306122449,4.4959438120680195,low,elev_xfip,1.0,,6.666666666666667,10.0,6.0,6.405228758169935,0.3,24.930747922437675,0.22812422814774327,recent,1.0372352756267744,929,689,"687263,545361,694384,624585,687093,666139,666176,694203,623168",Zach Neto; Mike Trout; Nolan Schanuel; Jorge Soler; Vaughn Grissom; Josh Lowe; Jo Adell; Denzer Guzman; Tyler Heineman,,False,,10,0.6785714285714286,strong,,"arsenal K% 22.6 (#10/28, strong, opp K% 24.9)"
9,Taj Bradley,671737,MIN,R,KC,KC@MIN,6:40 PM CT,2026-07-28T23:40:00Z,ok,prior:2026-07-26,5.446666666666666,23,2.5555555555555554,season_avg,starter,26.870228745957476,25.08224195327223,5.571158527302356,5.8702264675747955,2.418320587136173,9,9,1.0,23,,23,3.610465196353673,1.3343023551741835,10.12500022455704,3.9500426621386553,medium,"elev_bb,elev_hr",0.95,,5.666666666666667,8.052631578947368,6.333333333333333,4.873333333333333,0.3,20.62937062937063,0.24315588251991604,recent,0.9795020268518084,1136,812,"657041,679845,521692,695506,516782,686555,686475,571912,623205",Lane Thomas; Nick Loftin; Salvador Perez; Jac Caglianone; Starling Marte; Isaac Collins; Tyler Tolbert; Luke Maile; Andrew Velazquez,,False,,1,1.0,elite,,"arsenal K% 26.9 (#1/28, elite, opp K% 20.6)"
10,Colin Rea,607067,CHC,R,STL,CHC@STL,6:45 PM CT,2026-07-28T23:45:00Z,ok,prior:2026-07-27,5.980392156862745,26,2.888888888888889,season_start_est,starter,21.517763395958497,22.54715228106029,5.39574704034156,5.668251216951672,1.9365987056362648,9,9,1.0,26,,26,3.2365931378335837,1.4479495616623927,6.899053793803165,4.6706080062139685,medium,"elev_hr,elev_xfip",1.0,,4.333333333333333,7.163265306122449,5.444444444444444,4.759903961584634,0.3,21.428571428571427,0.21677730580945592,recent,1.0032010532333706,1049,707,"802139,691023,671056,676475,691026,676369,665877,663457,691458",JJ Wetherholt; Jordan Walker; Iván Herrera; Alec Burleson; Masyn Winn; Nelson Velázquez; José Fermín; Lars Nootbaar; Blaze Jordan,,True,"K9 6.9, soft L3 4.3, elev_xFIP 4.67",15,0.5,avg,FILLER,"soft-contact (K9 6.9, soft L3 4.3, elev_xFIP 4.67) + arsenal K% 21.5 (#15/28, avg, opp K% 21.4) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds"
11,Gage Jump,695611,ATH,L,BOS,BOS@ATH,8:40 PM CT,2026-07-29T01:40:00Z,ok,prior:2026-07-27,5.181818181818182,22,2.4444444444444446,season_avg,starter,20.830777004250777,23.87928027318098,5.26500673200044,4.348896444601744,1.87476993038257,9,9,1.0,22,,22,3.3157896955918225,1.1052632318639408,9.631579591957198,3.9297685692387496,clear,,1.0,,6.666666666666667,12.857142857142858,4.666666666666667,7.402597402597403,0.3,19.71014492753623,0.25973116173677185,recent,0.9598145277114422,257,723,"807799,678554,575929,677800,678882,702332,680776,655316,657136",Masataka Yoshida; Curtis Mead; Willson Contreras; Wilyer Abreu; Ceddanne Rafaela; Caleb Durbin; Jarren Duran; Andruw Monasterio; Connor Wong,,False,,18,0.39285714285714285,soft,,"arsenal K% 20.8 (#18/28, soft, opp K% 19.7)"
12,Anthony Kay,641743,CWS,L,NYY,NYY@CWS,6:40 PM CT,2026-07-28T23:40:00Z,ok,prior:2026-07-27,4.672166666666666,21,2.3333333333333335,season_start_est,starter,25.13161990330715,26.70420426512391,5.203569752092459,5.617579712291554,2.2618457912976435,9,9,1.0,21,,21,3.6610171740235353,1.2813560109082374,7.322034348047071,4.906786511439237,high,"elev_bb,elev_hr,high_xfip,exit_xfip_bb",0.9215,exit_xfip_bb,4.333333333333333,8.162790697674419,4.777777777777778,4.237546511627906,0.3,29.206349206349206,0.22493924935192106,recent,1.07,467,1330,"680474,700250,502671,691176,683011,665862,676609,682987,645305",Max Schuemann; Ben Rice; Paul Goldschmidt; Jasson Domínguez; Anthony Volpe; Jazz Chisholm Jr.; José Caballero; Spencer Jones; Ali Sánchez,,False,,6,0.8214285714285714,elite,,"arsenal K% 25.1 (#6/28, elite, opp K% 29.2)"
13,Slade Cecconi,677944,CLE,R,CIN,CLE@CIN,12:40 PM CT,2026-07-28T17:40:00Z,ok,prior:2026-07-26,5.183333333333334,23,2.5555555555555554,season_avg,starter,21.788365627135157,21.21896640959141,5.035338804250886,5.194055434644123,1.9609529064421642,9,9,1.0,23,,23,2.9517685611582216,1.3022508358050977,7.118971235734534,4.3759062255683014,medium,"elev_hr,elev_xfip",1.0,,4.0,8.1,4.444444444444445,4.665,0.3,22.96511627906977,0.24512768729918172,recent,1.0052786091947523,991,706,"682829,668715,668709,553993,663993,667472,682622,624431,663647",Elly De La Cruz; Spencer Steer; JJ Bleday; Eugenio Suárez; Nathaniel Lowe; Dane Myers; Noelvi Marte; Jose Trevino; Ke'Bryan Hayes,,True,"K9 7.1, soft L3 4.0, elev_xFIP 4.38",14,0.5357142857142857,avg,FILLER,"soft-contact (K9 7.1, soft L3 4.0, elev_xFIP 4.38) + arsenal K% 21.8 (#14/28, avg, opp K% 23.0) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds"
