batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Enrique Hernández,571771,9,R,LAD,Ranger Suarez,BOS,L,BOS@LAD,9:10 PM CT,prior:2026-07-30,1.0,vs_lhp,33.3,50.0,0.46,0.327,238.75,238.75,True,8.164434400863076,1
Yordan Alvarez,670541,2,L,HOU,Nathan Eovaldi,TEX,R,TEX@HOU,7:15 PM CT,official,0.3368421052631579,vs_rhp,18.5,53.7,0.475,0.336,75.3813980263158,76.38241776315789,False,17.5281941320595,2
Eduardo Valencia,680664,6,R,DET,Jeffrey Springs,ATH,L,DET@ATH,8:40 PM CT,prior:2026-07-29,0.3333333333333333,vs_lhp,17.6,52.9,0.346,0.231,72.08333333333333,72.08333333333333,True,39.919643882115544,3
James Wood,695578,1,L,WSH,Bryce Elder,ATL,R,WSH@ATL,6:15 PM CT,official,0.27611940298507465,vs_rhp,21.3,58.5,0.425,0.278,68.12037779850746,71.42003264925373,False,23.377253145898884,4
Alec Burleson,676475,3,L,STL,Dylan Cease,TOR,R,STL@TOR,6:07 PM CT,official,0.32269503546099293,vs_rhp,11.2,48.7,0.382,0.299,64.7660660460993,63.30818927304965,False,18.95634067872947,5
Chase DeLauter,800050,3,L,CLE,Mitch Bratt,AZ,L,AZ@CLE,6:10 PM CT,official,0.37142857142857144,vs_lhp,6.5,45.4,0.344,0.275,64.58410714285715,59.00017857142858,False,12.928214669643596,6
Griffin Conine,665052,5,L,MIA,Kodai Senga,NYM,R,MIA@NYM,6:10 PM CT,official,0.28865979381443296,vs_rhp,15.8,56.6,0.379,0.276,64.43472938144329,65.47673969072164,False,29.531809815546772,7
Mike Trout,545361,2,R,LAA,Shane Drohan,MIL,L,MIL@LAA,8:38 PM CT,prior:2026-07-29,0.2839506172839506,vs_lhp,17.7,47.8,0.398,0.26,63.517561728395066,64.71003086419753,False,23.647895972983846,8
Esmerlyn Valdez,699013,4,R,PIT,Hunter Greene,CIN,R,PIT@CIN,5:10 PM CT,official,0.25842696629213485,vs_rhp,25.6,51.2,0.367,0.227,63.352071629213484,66.26447331460675,False,38.654225352112675,9
Munetaka Murakami,808959,2,L,CWS,Nick Martinez,TB,R,CWS@TB,6:10 PM CT,official,0.2598870056497175,vs_rhp,20.0,59.4,0.375,0.223,62.642450564971746,65.26310028248588,False,26.475135020461828,10
Willson Contreras,575929,4,R,BOS,Edgardo Henriquez,LAD,R,BOS@LAD,9:10 PM CT,prior:2026-07-30,0.2918287937743191,vs_rhp,14.5,46.6,0.391,0.268,62.44475437743191,62.70206468871596,False,20.790031727531726,11
John Rave,670231,7,L,KC,Tomoyuki Sugano,COL,R,KC@COL,7:40 PM CT,official,0.29411764705882354,vs_rhp,35.7,64.3,0.436,0.288,62.279411764705884,62.279411764705884,True,37.998244426966906,12
Gabriel Moreno,672515,3,R,AZ,Tanner Bibee,CLE,R,AZ@CLE,6:10 PM CT,official,0.3192488262910798,vs_rhp,7.8,43.2,0.378,0.298,61.51488262910799,59.37744131455399,False,10.256475800954329,13
Luis García Jr.,671277,2,L,WSH,Bryce Elder,ATL,R,WSH@ATL,6:15 PM CT,official,0.2953020134228188,vs_rhp,12.3,45.9,0.358,0.291,60.82988884228188,60.265413171140935,False,12.6461053733781,14
Fernando Tatis Jr.,665487,1,R,SD,Carson Whisenhunt,SF,L,SF@SD,8:45 PM CT,official,0.2857142857142857,vs_lhp,10.4,53.7,0.355,0.288,60.29549107142857,60.309151785714285,False,21.82566844919786,15
Endy Rodríguez,682848,7,S,PIT,Hunter Greene,CIN,R,PIT@CIN,5:10 PM CT,official,0.30851063829787234,vs_rhp,11.5,44.9,0.352,0.249,60.275126329787234,58.366469414893615,False,26.392525738234202,16
Ty France,664034,4,R,SD,Carson Whisenhunt,SF,L,SF@SD,8:45 PM CT,official,0.30666666666666664,vs_lhp,11.3,49.7,0.331,0.251,60.13635416666666,58.241145833333334,False,28.987607533131825,17
Jordan Walker,691023,2,R,STL,Dylan Cease,TOR,R,STL@TOR,6:07 PM CT,official,0.2768729641693811,vs_rhp,13.6,49.0,0.36,0.279,60.004171416938114,60.62677320846906,False,30.066279497055724,18
Junior Caminero,691406,3,R,TB,Erick Fedde,CWS,R,CWS@TB,6:10 PM CT,official,0.271523178807947,vs_rhp,13.1,50.3,0.37,0.277,59.840755380794704,60.87772144039735,False,19.221709638746017,19
Jake Bauers,641343,3,L,MIL,Ryan Johnson,LAA,R,MIL@LAA,8:38 PM CT,prior:2026-07-29,0.2701612903225806,vs_rhp,13.5,53.9,0.36,0.256,59.674566532258055,60.664627016129025,False,26.019565217391303,20
Yandy Díaz,650490,1,R,TB,Erick Fedde,CWS,R,CWS@TB,6:10 PM CT,official,0.3087719298245614,vs_rhp,7.1,47.0,0.355,0.285,59.619067982456144,57.619221491228075,False,7.743192588673638,21
Bryce Harper,547180,3,L,PHI,Brandon Young,BAL,R,PHI@BAL,6:05 PM CT,official,0.28270042194092826,vs_rhp,11.6,44.9,0.384,0.272,59.61722969409283,59.76283359704641,False,19.265153860224284,22
Pete Crow-Armstrong,691718,1,L,CHC,Will Warren,NYY,R,NYY@CHC,1:20 PM CT,official,0.2847222222222222,vs_rhp,11.9,49.0,0.363,0.256,59.51784722222222,59.33298611111111,False,27.64795669675464,23
Ben Rice,700250,2,L,NYY,Shota Imanaga,CHC,L,NYY@CHC,1:20 PM CT,official,0.2534246575342466,vs_lhp,15.9,48.8,0.382,0.273,59.47059075342466,61.86810787671233,False,26.53263396267598,24
Luis Lara,800325,7,S,MIL,Ryan Johnson,LAA,R,MIL@LAA,8:38 PM CT,prior:2026-07-29,0.3142857142857143,vs_rhp,5.4,40.5,0.367,0.317,59.36013392857143,57.00022321428571,False,29.881699084668192,25
Drake Baldwin,686948,2,L,ATL,Foster Griffin,WSH,L,WSH@ATL,6:15 PM CT,official,0.24817518248175183,vs_lhp,15.0,50.8,0.387,0.283,59.35939324817518,62.189384124087596,False,18.62272900221415,26
Jac Caglianone,695506,3,L,KC,Tomoyuki Sugano,COL,R,KC@COL,7:40 PM CT,official,0.2589641434262948,vs_rhp,14.8,55.2,0.351,0.267,59.34578934262949,61.11133217131474,False,28.975968854707823,27
Elly De La Cruz,682829,1,S,CIN,Paul Skenes,PIT,R,PIT@CIN,5:10 PM CT,official,0.2549019607843137,vs_rhp,14.5,52.8,0.369,0.278,59.32894607843137,61.523848039215686,False,23.263116904401404,28
