rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,z_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,o_swing_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,last3_ks_adj,last3_k9_adj,last3_opp_k_pct,form_opp_factor,form_opp_note,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,lineup_woba,lineup_wrc_plus,lineup_iso,lineup_quality_n,lineup_quality_source,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Reid Detmers,672282,LAA,L,TEX,TEX@LAA,8:38 PM CT,2026-08-11T01:38:00Z,ok,official,5.512292763157895,23,2.5555555555555554,season_avg,starter,31.024304514989492,31.32278031984318,7.649767348206051,7.470455105455106,2.792187406349054,9,9,1.0,23,,23,2.7209302325581395,1.186046511627907,10.465116279069768,3.576056137011033,28.301886999999997,74.711538,86.22366299999999,34.7305389,46.1077844,9.7402597,13.690475999999999,12.335835000000001,28.658537,34.872218,65.29080675422139,65.471698,42.99812,2132.0,1392.0,0.25,"attack-plate stuff bump +0.25 (strong whiff 29.4%, Strike% 65.3)",whiff,"K% 28.3, Contact% 74.7",clear,,1.0,,6.666666666666667,12.0,5.0,6.562450108159306,11.81241019468675,22.857316631405727,0.9843675162238958,L3 opp K% 22.9,7.234829247958257,0.3,25.56390977443609,25.15527950310559,23.56285533796589,25.15527950310559,L,644.0,8,season_vs_lhp,0.2325191365112288,10.526315789473685,62.40601503759399,0.32596339523488743,110.17792352012897,0.1849444922873151,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9877552631578947,0.9799631578947369,elevated,531,1598,"694671,608369,677649,607043,669394,679822,553869,681146,695508",Wyatt Langford; Corey Seager; Ezequiel Duran; Brandon Nimmo; Jake Burger; Justin Foscue; Elias Díaz; Jonah Bride; Cam Cauley,,29.354037428549052,94.06033229491175,FF,strong,True,"K9 10.5, L3 K9 12.0, stuff whiff 29.4%",savant+statcast,False,,1,1.0,elite,elite,8.524304514989492,5.8690250118839025,,"arsenal K% 31.0 (elite solo, +8.5 vs lg, +5.9 vs opp K%, opp K% vs LHP 25.2; slate #1/20 elite); stuff whiff 29.4% (strong), FF 94.1 mph; pitcher style WHIFF (K% 28.3, Contact% 74.7); stuff ceiling (K9 10.5, L3 K9 12.0, stuff whiff 29.4%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.6 (≥5.5)",0,trust,18.0,97.0,302.0,23.0,14.0,60.0,.219,.705,32.11920529801324,9,50,5.555555555555555,5,20,4.0,2026-08-10 H: 6.0IP 6K; 2026-07-09 A: 4.0IP 6K; 2026-05-24 H: 8.0IP 14K; 2025-08-25 A: 1.0IP 1K; 2025-07-30 H: 0.2IP 2K; 2025-07-29 H: 1.0IP 2K; 2025-07-09 H: 1.0IP 0K; 2025-07-07 H: 1.0IP 0K
2,MacKenzie Gore,669022,TEX,L,LAA,TEX@LAA,8:38 PM CT,2026-08-11T01:38:00Z,ok,official,5.36,23,2.5555555555555554,season_avg,starter,24.185174419219727,25.719243814813794,6.1645051877538375,5.962357950655097,2.1766656977297756,9,9,1.0,23,,23,3.2875650267578305,1.119171072938836,9.792746888214815,3.8477741709657107,25.59415,76.635514,86.58346300000001,38.0,41.1428571,8.3333333,14.689266,11.531365000000001,25.876384,33.966746,63.9760147601476,59.41499099999999,41.689751,2168.0,1387.0,0.0,,whiff,K% 25.6,clear,,1.0,,7.333333333333333,10.8,6.111111111111111,7.566127986887774,11.142843035234723,21.80771991776345,1.0317447254846965,L3 opp K% 21.8,6.636182074317569,0.3,30.592105263157894,24.440894568690094,23.90717754991905,24.440894568690094,L,626.0,6,season_vs_lhp,0.19970259055204062,6.25,62.171052631578945,0.323039080435891,105.53416985225667,0.15765331519778916,9,fangraphs,whiff_prone,recent,1.07,free_swing,1.0164,1.0,low,543,1624,"687263,545361,694384,687093,642350,694208,672724,518595,685133",Zach Neto; Mike Trout; Nolan Schanuel; Vaughn Grissom; Jose Siri; Moisés Ballesteros; Oswald Peraza; Travis d'Arnaud; Wade Meckler,,25.839330487270907,95.39748237663645,FF,avg,True,L3 K9 10.8,savant+statcast,False,,4,0.85,elite,elite,1.6851744192197273,-0.2557201494703669,,"arsenal K% 24.2 (elite solo, +1.7 vs lg, -0.3 vs opp K%, opp K% vs LHP 24.4; slate #4/20 elite); stuff whiff 25.8% (avg), FF 95.4 mph; pitcher style WHIFF (K% 25.6); stuff ceiling (L3 K9 10.8); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.2 (≥5.5)",0,trust,4.0,22.0,86.0,13.0,2.0,19.0,.260,.756,25.58139534883721,2,9,4.5,3,22,7.333333333333333,2026-08-10 A: 5.1IP 9K; 2026-07-08 H: 5.0IP 7K; 2026-05-24 A: 6.0IP 7K; 2024-08-11 H: 4.0IP 2K; 2023-04-12 A: 3.2IP 6K
3,Hunter Dobbins,690928,STL,R,PHI,PHI@STL,6:45 PM CT,2026-08-10T23:45:00Z,ok,official,6.5212,28,3.111111111111111,season_start_est,starter,23.573724218882873,24.675939725959495,6.061774158703312,6.421646568091392,2.1216351796994584,9,9,1.0,28,,28,3.1500000751018544,1.3500000321865089,8.100000193119053,4.008034686355911,21.301775,79.354839,87.244898,46.610169400000004,35.5932203,9.523809499999999,13.559321999999998,9.682300000000001,25.416036,30.0,62.632375189107414,61.538462,42.511346,661.0,414.0,0.0,,balanced,,low,elev_hr,1.0,,5.0,7.788461538461539,5.777777777777778,4.6267513349080005,7.207054963991309,24.315116991744915,0.9253502669816002,L3 opp K% 24.3,5.222071870131126,0.3,17.714285714285715,24.60159362549801,19.595216191352346,19.595216191352346,R,2174.0,9,season_vs_rhp,0.24021733871503456,14.0,64.85714285714286,0.3361765226647591,110.68876048619757,0.17774236501940818,9,fangraphs,neutral,recent,0.9989811496161553,patient,0.95,0.9316,elevated,360,301,"656941,681082,547180,650333,669016,656537,702222,624641,596117",Kyle Schwarber; Bryson Stott; Bryce Harper; Luis Arraez; Brandon Marsh; Derek Hill; Justin Crawford; Edmundo Sosa; Garrett Stubbs,,23.38815866924608,95.13523809523808,FF,avg,False,,savant+statcast,False,,7,0.7,strong,strong,1.073724218882873,3.978508027530527,,"arsenal K% 23.6 (strong solo, +1.1 vs lg, +4.0 vs opp K%, opp K% vs RHP 19.6; slate #7/20 strong); stuff whiff 23.4% (avg), FF 95.1 mph; total caution — Exp K 6.1 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,,,,,,,,,,1,6,6.0,0,0,,2026-08-10 H: 5.0IP 6K
4,Christian Scott,681035,NYM,R,ATL,NYM@ATL,6:15 PM CT,2026-08-10T23:15:00Z,ok,official,4.377450980392156,19,2.111111111111111,season_avg,starter,25.00879841911429,25.887256128558437,5.047762585618045,4.61948517142568,2.250791857720286,9,9,1.0,19,,19,3.8744397269921906,0.8475336902795417,11.139014215102549,3.740308115004593,28.840125,75.93984999999999,82.278481,32.432432399999996,42.1621621,11.5384615,16.931217,11.74743,27.386197000000003,34.394904,64.53744493392071,59.874607999999995,42.321822,1362.0,879.0,0.0,,whiff,"K% 28.8, FB% 42.2, IFFB% 11.5",low,elev_bb,0.95,,6.666666666666667,12.0,5.0,6.907075121061856,12.432735217911342,21.716862401366182,1.0360612681592785,L3 opp K% 21.7,6.047076552066899,0.3,22.352941176470587,19.197952218430036,21.730675741370927,21.730675741370927,R,2057.0,8,season_vs_rhp,0.2595433432478486,5.882352941176471,70.58823529411765,0.3331202668533094,109.05682215006497,0.18523570967778807,9,fangraphs,neutral,recent,0.9649921418253737,aggressive,1.0193411764705882,1.0,low,874,487,"686948,660670,621566,671739,645277,643289,663586,805347,669221",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mauricio Dubón; Austin Riley; Jim Jarvis; Sean Murphy,,26.60420560747664,95.47287630402386,FF,strong,True,"K9 11.1, L3 K9 12.0, stuff whiff 26.6% + FB 95.5",savant+statcast,False,,2,0.95,elite,elite,2.5087984191142887,3.2781226777433616,,"arsenal K% 25.0 (elite solo, +2.5 vs lg, +3.3 vs opp K%, opp K% vs RHP 21.7; slate #2/20 elite); stuff whiff 26.6% (strong), FF 95.5 mph; pitcher style WHIFF (K% 28.8, FB% 42.2, IFFB% 11.5); stuff ceiling (K9 11.1, L3 K9 12.0, stuff whiff 26.6% + FB 95.5); K-first arm — confirms overs / SPIKE caution on soft unders",0,,4.0,26.0,81.0,7.0,3.0,17.0,.233,.706,32.098765432098766,2,15,7.5,2,13,6.5,2026-08-10 A: 4.0IP 6K; 2026-07-29 H: 6.0IP 7K; 2026-07-03 A: 4.0IP 7K; 2024-05-11 H: 6.0IP 8K
5,Dean Kremer,665152,MIN,R,BAL,BAL@MIN,6:40 PM CT,2026-08-10T23:40:00Z,ok,official,5.0560173989071036,21,2.3333333333333335,season_avg,starter,24.785970413269936,29.04186738213054,4.9938158591157364,5.3848397854829715,2.2307373371942942,9,9,1.0,21,,21,2.8536585365853657,2.6341463414634148,8.78048780487805,3.9778057790384063,23.255814,75.465839,83.597884,35.042735,43.5897435,5.8823529,10.92437,11.516034999999999,26.676385000000003,32.125604,62.39067055393586,60.465115999999995,39.562044,686.0,428.0,0.0,,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,4.333333333333333,7.3125,5.333333333333333,4.305287608094513,7.265172838659491,22.64657065341861,0.9935279095602723,L3 opp K% 22.6,4.081426697592189,0.3,28.852459016393443,27.116564417177916,26.450676982591876,26.450676982591876,R,2068.0,9,season_vs_rhp,0.22124456060238987,10.819672131147541,58.36065573770492,0.3080904572947987,97.42483805661006,0.16297488638653104,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9861418032786885,0.9773229508196721,elevated,414,270,"683002,624413,702616,641933,687637,665750,691723,681297,665966",Gunnar Henderson; Pete Alonso; Jackson Holliday; Tyler O'Neill; Dylan Beavers; Leody Taveras; Coby Mayo; Colton Cowser; Carlos Narváez,,25.066193278286043,93.00722891566265,FF,avg,False,,savant+statcast,False,,3,0.9,elite,elite,2.2859704132699363,-1.6647065693219396,,"arsenal K% 24.8 (elite solo, +2.3 vs lg, -1.7 vs opp K%, opp K% vs RHP 26.5; slate #3/20 elite); stuff whiff 25.1% (avg), FF 93.0 mph",0,,,,,,,,,,,1,7,7.0,0,0,,2026-08-10 H: 7.0IP 7K
6,Noah Cameron,702070,KC,L,LAD,KC@LAD,9:10 PM CT,2026-08-11T02:10:00Z,ok,official,5.803030303030303,25,2.7777777777777777,season_start_est,starter,20.578920941130956,24.631132426617995,4.863725333145215,4.7986744272486055,1.852102884701786,9,9,1.0,25,,25,2.911051272802045,1.0188679454807157,8.44204869112593,3.9749219830268943,22.011385,76.323988,86.736475,37.7777777,38.8888888,9.285714200000001,15.489130000000001,11.143695000000001,26.588465,31.888798,63.147605083088955,60.531309,40.224829,2046.0,1292.0,0.0,,balanced,,clear,,1.0,,5.666666666666667,7.285714285714286,7.0,6.0500417244637985,7.778625074310598,21.074234824603632,1.0676544219641997,L3 opp K% 21.1,5.015510780237304,0.3,20.0,19.11764705882353,20.744931636020745,19.11764705882353,L,952.0,9,season_vs_lhp,0.23920807242767317,6.129032258064516,73.2258064516129,0.3445998410423966,117.7802886478481,0.18317378248974944,9,fangraphs,contact_heavy,recent,0.9299999999999999,aggressive,1.0173677419354838,1.0,low,498,1548,"660271,681624,518692,669242,605141,500743,606192,571970,676439",Shohei Ohtani; Andy Pages; Freddie Freeman; Tommy Edman; Mookie Betts; Miguel Rojas; Teoscar Hernández; Max Muncy; Hunter Feduccia,,26.32662932790224,92.50893854748604,FF,strong,False,,savant,False,,13,0.4,avg,avg,-1.9210790588690436,1.4612738823074274,,"arsenal K% 20.6 (avg solo, -1.9 vs lg, +1.5 vs opp K%, opp K% vs LHP 19.1; slate #13/20 avg); stuff whiff 26.3% (strong), FF 92.5 mph",1,,1.0,4.0,19.0,3.0,2.0,3.0,.188,1.004,21.05263157894737,1,4,4.0,1,1,1.0,2026-08-10 A: 5.0IP 1K; 2025-06-27 H: 4.0IP 4K
7,Casey Mize,663554,SD,R,MIL,MIL@SD,8:40 PM CT,2026-08-11T01:40:00Z,ok,official,5.1249917602996256,21,2.3333333333333335,season_avg,starter,24.08029049454153,26.27796930738107,4.811207915389146,5.306688863031774,2.1672261445087377,9,9,1.0,21,,21,2.200000069936119,0.600000019073487,8.600000273386646,3.9524233497175243,23.69146,75.928678,84.470588,32.669322699999995,47.4103585,13.4453781,16.929134,11.612903,27.885305,31.713555,64.73118279569893,65.289256,43.942651999999995,1395.0,903.0,0.0,,fly_popup,"FB% 47.4, IFFB% 13.4",clear,,1.0,,3.3333333333333335,5.869565217391304,5.111111111111112,3.645186183445776,6.418697409980605,20.575080729923894,1.0935558550337328,L3 opp K% 20.6,3.6550857042230165,0.3,25.84269662921348,23.415265200517464,23.423423423423422,23.423423423423422,R,2331.0,9,season_vs_rhp,0.22089439528489271,12.640449438202246,59.550561797752806,0.3391509574421867,114.29309473476849,0.16464052025802312,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9761275280898877,0.9609359550561798,elevated,800,595,"668930,694192,641343,683734,669003,661388,592885,800325,666152",Brice Turang; Jackson Chourio; Jake Bauers; Andrew Vaughn; Garrett Mitchell; William Contreras; Christian Yelich; Luis Lara; David Hamilton,,26.56704557995806,93.50774058577406,FF,strong,False,,savant+statcast,False,,5,0.8,elite,elite,1.5802904945415293,0.656867071118107,,"arsenal K% 24.1 (elite solo, +1.6 vs lg, +0.7 vs opp K%, opp K% vs RHP 23.4; slate #5/20 elite); stuff whiff 26.6% (strong), FF 93.5 mph; pitcher style FLY/popup (FB% 47.4, IFFB% 13.4)",1,,2.0,8.0,48.0,5.0,0.0,11.0,.262,.595,16.666666666666668,3,14,4.666666666666667,0,0,,2026-08-10 H: 6.0IP 6K; 2026-04-22 H: 6.0IP 7K; 2024-06-08 H: 5.1IP 1K
8,Andrew Painter,691725,PHI,R,STL,PHI@STL,6:45 PM CT,2026-08-10T23:45:00Z,ok,official,4.972463166042446,22,2.4444444444444446,season_start_est,starter,22.170530515491908,24.465786386875195,4.706863012467375,4.453998776767764,1.995347746394272,9,9,1.0,22,,22,3.36,1.8,7.56,4.673220160802206,18.584070999999998,78.513732,85.595568,39.4190871,40.6639004,10.2040816,21.311474999999998,10.342146000000001,25.972005999999997,34.491979,63.99688958009331,61.651917,41.835148,1286.0,823.0,0.0,,balanced,,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,5.333333333333333,9.391304347826088,5.111111111111111,5.444573259115069,9.58718334757219,22.040294856736693,1.0208574860840756,L3 opp K% 22.0,5.296879562433136,0.3,19.382022471910112,15.869565217391305,19.786571809693196,19.786571809693196,R,2249.0,8,season_vs_rhp,0.2472764558984499,9.831460674157304,69.66292134831461,0.32242613446434165,104.5610347866848,0.14694157275275938,9,fangraphs,contact_heavy,recent,0.9559735978923346,patient,0.9643252808988764,0.9816224719101123,elevated,798,488,"802139,671056,676475,691023,701675,691026,665877,699625,693409",JJ Wetherholt; Iván Herrera; Alec Burleson; Jordan Walker; Nathan Church; Masyn Winn; José Fermín; Jimmy Crooks; César Prieto,,22.812577604558086,96.49694117647059,FF,avg,False,,savant+statcast,False,,8,0.65,strong,avg,-0.3294694845080919,2.3839587057987117,,"arsenal K% 22.2 (avg solo, -0.3 vs lg, +2.4 vs opp K%, opp K% vs RHP 19.8; slate #8/20 strong); stuff whiff 22.8% (avg), FF 96.5 mph",2,,,,,,,,,,,0,0,,1,6,6.0,2026-08-10 A: 5.1IP 6K
9,Tarik Skubal,669373,LAD,L,KC,KC@LAD,9:10 PM CT,2026-08-11T02:10:00Z,ok,official,5.981481481481482,23,2.5555555555555554,season_avg,starter,18.950334810923707,21.085165007605507,4.691395618056562,4.073946645039837,1.7055301329831334,9,9,1.0,23,,23,1.4025974373408092,0.9642857381718063,10.69480545972367,2.6272591574579187,30.653266000000002,69.259724,79.690949,42.9718875,36.1445783,7.777777700000001,15.234375,16.150297,30.850362999999998,39.269406000000004,67.76532630191167,67.58794,42.216359,1517.0,1028.0,0.0,,whiff,"K% 30.7, Contact% 69.3",clear,,1.0,,6.0,9.169811320754716,5.888888888888889,6.037185586750455,9.226642123146922,22.36141295644092,1.0061975977917426,L3 opp K% 22.4,6.132109888428922,0.3,16.25,21.2972972972973,21.61422708618331,21.2972972972973,L,925.0,9,season_vs_lhp,0.21441340488215488,7.5,74.375,0.31365637875456187,97.15086982519688,0.15960761873027582,9,fangraphs,contact_heavy,recent,0.9376432704010829,neutral,1.0072,1.0,neutral,349,1167,"679845,677951,695506,521692,695600,516782,686681,686555,664728",Nick Loftin; Bobby Witt Jr.; Jac Caglianone; Salvador Perez; Carter Jensen; Starling Marte; Michael Massey; Isaac Collins; Kyle Isbel,,31.113090697758896,96.69414990859232,FF,elite,True,"K9 10.7, stuff whiff 31.1%",savant+statcast,False,,17,0.2,soft,soft,-3.5496651890762934,-2.3469624863735916,SPIKE,"arsenal K% 19.0 (soft solo, -3.5 vs lg, -2.3 vs opp K%, opp K% vs LHP 21.3; slate #17/20 soft); stuff whiff 31.1% (elite), FF 96.7 mph; pitcher style WHIFF (K% 30.7, Contact% 69.3); SPIKE (K9 10.7, stuff whiff 31.1%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,19.0,107.0,412.0,18.0,13.0,86.0,.223,.650,25.97087378640777,6,44,7.333333333333333,5,27,5.4,2026-08-10 H: 5.0IP 6K; 2026-07-24 H: 7.1IP 12K; 2025-08-31 A: 7.0IP 4K; 2025-05-31 A: 7.0IP 7K; 2025-04-20 H: 5.0IP 4K; 2024-09-18 A: 5.0IP 7K; 2024-08-02 H: 6.1IP 8K; 2024-05-22 A: 5.0IP 6K
10,Sonny Gray,543243,BOS,R,TOR,BOS@TOR,6:07 PM CT,2026-08-10T23:07:00Z,ok,official,5.712121212121212,23,2.5555555555555554,season_avg,starter,20.604155737824687,22.936588665637963,4.687614715936246,4.4720481715918465,1.854374016404222,9,9,1.0,23,,23,2.4066852879151854,0.9025069829681945,7.972145016219052,3.5897345046766116,21.900826000000002,78.658537,92.827004,48.0938416,31.671554200000003,2.7777777,11.111111,10.069045000000001,27.042578,33.954858,64.4994246260069,63.636364,41.36939,1738.0,1121.0,0.0,,contact_gb,GB% 48.1,clear,,1.0,,5.666666666666667,8.052631578947368,6.333333333333333,5.755098640615179,8.178298068242622,22.15426840822509,1.015605642461502,L3 opp K% 22.2,5.190603319406513,0.3,22.516556291390728,20.081967213114755,17.947214076246333,17.947214076246333,R,1705.0,7,season_vs_rhp,0.2171126186154993,6.622516556291391,69.20529801324503,0.3029221025369681,93.43020877669446,0.1264765992077863,9,fangraphs,neutral,recent,0.9483199110275065,aggressive,1.0134198675496688,1.0,low,1146,592,"664770,703520,665489,543807,660821,665926,807727,669701,678218",Nathan Lukes; Brett Bateman; Vladimir Guerrero Jr.; George Springer; Jesús Sánchez; Andrés Giménez; Charles McAdoo; Josh Smith; Brandon Valenzuela,,22.76209491601011,92.09101123595507,SI,avg,False,,savant+statcast,False,,12,0.45,avg,avg,-1.8958442621753129,2.6569416615783545,,"arsenal K% 20.6 (avg solo, -1.9 vs lg, +2.7 vs opp K%, opp K% vs RHP 17.9; slate #12/20 avg); stuff whiff 22.8% (avg), SI 92.1 mph; pitcher style GB/contact (GB% 48.1)",1,,17.0,79.0,396.0,44.0,10.0,86.0,.248,.720,19.949494949494948,2,7,3.5,2,9,4.5,2026-08-10 A: 6.0IP 4K; 2026-07-25 H: 5.0IP 3K; 2026-06-18 H: 7.0IP 4K; 2023-06-09 A: 5.0IP 5K
