rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Ian Seymour,693855,TB,L,COL,TB@COL,7:40 PM CT,2026-08-04T00:40:00Z,ok,official,6.510000000000001,27,3.0,season_start_est,swingman,25.15205811315265,27.047366221648407,8.06235220544979,6.973931722071127,2.2636852301837385,9,9,1.0,27,,27,3.22,1.38,10.34,,medium,"elev_hr,short_recent_ip",0.93,short_recent_ip,6.333333333333333,14.657142857142858,3.888888888888889,10.602000000000002,0.3,23.59550561797753,0.2355430536126003,7.303370786516854,recent,1.0177996351198115,neutral,1.0089696629213483,1.0,neutral,452.0,823.0,"664983,691720,694249,696100,666160,650489,671289,687859,678662",Jake McCarthy; Kyle Karros; Cole Carrigg; Hunter Goodman; Mickey Moniak; Willi Castro; Tyler Freeman; Troy Johnston; Ezequiel Tovar,,28.646586035340537,91.54746268656717,FF,strong,True,"K9 10.3, L3 K9 14.7, stuff whiff 28.6%",savant+statcast,False,,1,1.0,elite,elite,2.6520581131526484,1.5565524951751186,,"arsenal K% 25.2 (elite solo, +2.7 vs lg, +1.6 vs opp K%, opp K% 23.6; slate #1/15 elite); stuff whiff 28.6% (strong), FF 91.5 mph; stuff ceiling (K9 10.3, L3 K9 14.7, stuff whiff 28.6%)",0,0,,0,0,,,,,,,,,,,
2,Justin Wrobleski,680736,LAD,L,CHC,LAD@CHC,7:05 PM CT,2026-08-04T00:05:00Z,ok,prior:2026-08-02,6.568627450980393,26,2.888888888888889,season_start_est,starter,22.451260845556142,23.844095827544106,6.424363499718259,5.828632875575491,2.0206134761000527,9,9,1.0,26,,26,1.68,0.96,6.95,,clear,,1.0,,7.666666666666667,10.706896551724139,6.444444444444444,7.814401622718054,0.3,24.137931034482758,0.2735701569022211,8.753315649867375,recent,1.00312262060033,neutral,0.9959201591511936,1.0,neutral,424.0,1202.0,"691718,673548,683737,608324,664023,663538,699393,621020,665804",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Nico Hoerner; Pedro Ramírez; Dansby Swanson; Miguel Amaya,,20.43926946709205,94.31034912718204,FF,soft,True,L3 K9 10.7,savant+statcast,False,,3,0.8666666666666667,elite,avg,-0.04873915444385801,-1.686670188926616,,"arsenal K% 22.5 (avg solo, -0.0 vs lg, -1.7 vs opp K%, opp K% 24.1; slate #3/15 elite); stuff whiff 20.4% (soft), FF 94.3 mph; stuff ceiling (L3 K9 10.7)",1,6,6.0,0,0,,2026-04-26 H: 6.0IP 6K,1.0,6.0,27.0,4.0,0.0,4.0,.182,.560,22.22222222222222
3,Cam Schlittler,693645,NYY,R,STL,STL@NYY,6:05 PM CT,2026-08-03T23:05:00Z,ok,official,5.942028985507246,23,2.5555555555555554,season_avg,starter,17.20464792841728,20.159043625756507,5.532013537313283,3.941523824871288,1.548418313557555,9,9,1.0,23,,23,1.71,0.79,10.87,,clear,,1.0,,9.333333333333334,14.0,6.0,9.243156199677939,0.3,20.245398773006134,0.22951424567622775,7.668711656441718,recent,0.9825892507676453,neutral,1.0056815950920246,1.0,neutral,1329.0,780.0,"802139,691023,676475,671056,663494,691026,701675,665877,699625",JJ Wetherholt; Jordan Walker; Alec Burleson; Iván Herrera; Bryan Torres; Masyn Winn; Nathan Church; José Fermín; Jimmy Crooks,,28.26150757341373,97.88859275053305,FF,strong,True,"K9 10.9, L3 K9 14.0, stuff whiff 28.3%",savant+statcast,False,,12,0.26666666666666666,soft,soft,-5.29535207158272,-3.040750844588853,SPIKE,"arsenal K% 17.2 (soft solo, -5.3 vs lg, -3.0 vs opp K%, opp K% 20.2; slate #12/15 soft); stuff whiff 28.3% (strong), FF 97.9 mph; SPIKE (K9 10.9, L3 K9 14.0, stuff whiff 28.3%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+",0,0,,0,0,,,,,,,,,,,
4,Logan Webb,657277,SF,R,TEX,SF@TEX,7:05 PM CT,2026-08-04T00:05:00Z,ok,official,6.204662223606354,26,2.888888888888889,season_avg,starter,21.708961969722232,24.855410185229363,5.447714003933807,5.930546841941297,1.9538065772750008,9,9,1.0,26,,26,2.27,0.68,7.03,,clear,,1.0,,4.333333333333333,6.267857142857142,6.222222222222222,4.321104048582996,0.3,25.7396449704142,0.23539232525103196,9.467455621301776,recent,1.0425401382716957,neutral,0.989492899408284,0.9906603550295858,mild,1108.0,681.0,"592626,694671,608369,607043,694497,669394,677649,642851,670032",Joc Pederson; Wyatt Langford; Corey Seager; Brandon Nimmo; Evan Carter; Jake Burger; Ezequiel Duran; Austin Wynns; Nicky Lopez,,20.17126886528787,92.11496350364963,SI,soft,False,,savant,True,"K9 7.0, soft L3 4.3",5,0.7333333333333333,strong,avg,-0.7910380302777682,-4.030683000691969,FILLER,"soft-contact (K9 7.0, soft L3 4.3) + arsenal K% 21.7 (avg solo, -0.8 vs lg, -4.0 vs opp K%, opp K% 25.7; slate #5/15 strong); stuff whiff 20.2% (soft), SI 92.1 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",1,6,6.0,1,6,6.0,2024-06-07 A: 7.0IP 6K; 2023-08-13 H: 8.2IP 6K,4.0,26.0,103.0,7.0,2.0,18.0,.196,.565,25.24271844660194
5,Michael McGreevy,700241,STL,R,NYY,STL@NYY,6:05 PM CT,2026-08-03T23:05:00Z,ok,official,5.523809523809524,22,2.4444444444444446,season_avg,starter,24.069764720510356,28.93757425409796,5.109363026379162,5.647452638538812,2.166278824845932,9,9,1.0,22,,22,2.25,1.16,5.9,,clear,,1.0,,3.3333333333333335,6.279069767441861,4.777777777777778,3.8538205980066444,0.3,26.363636363636363,0.20534439494323964,7.2727272727272725,recent,1.0662424009630365,neutral,1.0092454545454546,1.0,neutral,1170.0,670.0,"663757,700250,671277,682987,691176,665862,641857,676609,669224",Trent Grisham; Ben Rice; Luis García Jr.; Spencer Jones; Jasson Domínguez; Jazz Chisholm Jr.; Ryan McMahon; José Caballero; Austin Wells,,18.669712753103145,91.69329004329005,FF,soft,False,,savant+statcast,True,"K9 5.9, soft L3 3.3",2,0.9333333333333333,elite,elite,1.5697647205103564,-2.293871643126007,MATCHUP_OK,"soft-contact profile (K9 5.9, soft L3 3.3) but arsenal K% 24.1 (elite solo, +1.6 vs lg, -2.3 vs opp K%, opp K% 26.4; slate #2/15 elite); stuff whiff 18.7% (soft), FF 91.7 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,0,,0,0,,,,,,,,,,,
6,Cal Quantrill,615698,TEX,R,SF,SF@TEX,7:05 PM CT,2026-08-04T00:05:00Z,ok,official,6.9516525896414345,30,3.3333333333333335,season_start_est,swingman,15.588713252239987,20.186371939334972,4.508983633017175,4.304095853457761,1.402984192701599,9,9,1.0,30,,30,2.76,1.23,5.98,,low,elev_hr,1.0,,3.6666666666666665,6.4565217391304355,5.111111111111111,4.987055118655812,0.3,17.92828685258964,0.26390187594842657,9.163346613545817,recent,0.9370292670331463,neutral,0.9922298804780877,0.9930932270916335,mild,563.0,379.0,"801501,808982,642715,646240,691740,687551,678545,687529,683766",Nate Furman; Jung Hoo Lee; Willy Adames; Rafael Devers; Daniel Susac; Drew Gilbert; Osleivis Basabe; Grant McCray; Christian Koss,,20.082441471571904,88.42432432432432,FC,soft,False,,savant+statcast,True,"K9 6.0, soft L3 3.7",14,0.13333333333333333,soft,soft,-6.911286747760013,-2.3395736003496523,FILLER,"soft-contact (K9 6.0, soft L3 3.7) + arsenal K% 15.6 (soft solo, -6.9 vs lg, -2.3 vs opp K%, opp K% 17.9; slate #14/15 soft); stuff whiff 20.1% (soft), FC 88.4 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; also swingman — fade full-outing chalk",3,17,5.666666666666667,2,5,2.5,2025-06-24 A: 4.2IP 3K; 2025-05-30 H: 5.0IP 7K; 2024-07-19 H: 6.0IP 5K; 2024-05-09 H: 6.0IP 5K; 2023-09-12 A: 6.0IP 2K,8.0,32.0,179.0,19.0,6.0,37.0,.237,.758,17.877094972067038
7,Michael King,650633,SD,R,AZ,SD@AZ,8:40 PM CT,2026-08-04T01:40:00Z,ok,official,5.412121212121211,22,2.4444444444444446,season_avg,starter,20.336358494120066,23.352800199864724,4.4552820645299205,4.045208144133653,1.830272264470806,9,9,1.0,22,,22,3.59,0.93,7.83,,low,elev_bb,0.95,,5.666666666666667,9.0,5.666666666666667,5.412121212121211,0.3,18.449197860962567,0.2441685702780329,8.556149732620321,recent,0.9538730617481515,neutral,0.9976946524064171,1.0,neutral,1236.0,794.0,"682998,672695,672515,606466,596146,571448,680728,694374,814439",Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Ketel Marte; Max Kepler; Nolan Arenado; Adrian Del Castillo; Tim Tawa; Ryan Waldschmidt,,25.36769020251778,92.92508771929825,SI,avg,False,,savant+statcast,False,,7,0.6,avg,avg,-2.1636415058799336,1.8871606331574995,,"arsenal K% 20.3 (avg solo, -2.2 vs lg, +1.9 vs opp K%, opp K% 18.4; slate #7/15 avg); stuff whiff 25.4% (avg), SI 92.9 mph",3,12,4.0,2,11,5.5,2026-07-08 H: 6.0IP 4K; 2026-04-26 A: 6.0IP 8K; 2025-09-27 H: 2.2IP 3K; 2024-06-07 H: 5.0IP 5K; 2024-05-04 A: 6.0IP 3K,5.0,23.0,101.0,6.0,2.0,19.0,.204,.557,22.77227722772277
8,Brandon Pfaadt,694297,AZ,R,SD,SD@AZ,8:40 PM CT,2026-08-04T01:40:00Z,ok,official,6.6694042446941335,28,3.111111111111111,season_start_est,swingman,20.29612014939154,24.44411039561772,4.442235023384107,5.098784824008524,1.8266508134452388,9,9,1.0,28,,28,2.63,1.0,6.13,,clear,,1.0,,2.6666666666666665,3.9272727272727277,6.111111111111111,2.910285488593804,0.3,20.786516853932586,0.3010217354688082,10.955056179775282,recent,0.9494829893123802,patient,0.95,0.9681393258426967,elevated,610.0,507.0,"665487,630105,592518,664034,701538,650859,669134,593428,823550",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Rengifo; Luis Campusano; Xander Bogaerts; Sung-Mun Song,,20.596763724552773,93.21875,FF,soft,False,,savant+statcast,True,"K9 6.1, soft L3 2.7",8,0.5333333333333333,avg,avg,-2.203879850608459,-0.49039670454104467,FILLER,"soft-contact (K9 6.1, soft L3 2.7) + arsenal K% 20.3 (avg solo, -2.2 vs lg, -0.5 vs opp K%, opp K% 20.8; slate #8/15 avg); stuff whiff 20.6% (soft), FF 93.2 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; also swingman — fade full-outing chalk",5,30,6.0,6,31,5.166666666666667,2026-07-06 A: 5.0IP 6K; 2026-04-25 H: 3.0IP 5K; 2025-09-28 A: 4.0IP 5K; 2025-08-04 H: 5.2IP 4K; 2025-07-09 A: 8.0IP 4K; 2024-09-29 H: 5.1IP 9K; 2024-07-06 A: 4.1IP 6K; 2024-06-07 A: 5.1IP 5K,11.0,61.0,251.0,13.0,6.0,60.0,.256,.690,24.302788844621514
9,Andrew Alvarez,674841,WSH,L,PHI,WSH@PHI,5:40 PM CT,2026-08-03T22:40:00Z,ok,official,5.301,23,2.5555555555555554,season_start_est,starter,20.63083711801331,26.948328676782374,4.354346160929072,4.774767242885688,1.856775340621198,9,9,1.0,23,,23,4.3,0.31,9.2,,medium,"high_bb,short_recent_ip",0.8370000000000001,short_recent_ip,2.3333333333333335,5.7272727272727275,3.6666666666666665,3.3733636363636363,0.3,23.88535031847134,0.23860908770582567,8.598726114649681,recent,1.0194465304242162,neutral,0.9973114649681529,1.0,neutral,281.0,728.0,"607208,656941,547180,664761,650559,681082,624641,656537,596117",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Bryan De La Cruz; Bryson Stott; Edmundo Sosa; Derek Hill; Garrett Stubbs,,25.700270673884635,92.40106007067138,FF,avg,False,,savant+statcast,False,,6,0.6666666666666666,strong,avg,-1.8691628819866892,-3.254513200458028,,"arsenal K% 20.6 (avg solo, -1.9 vs lg, -3.3 vs opp K%, opp K% 23.9; slate #6/15 strong); stuff whiff 25.7% (avg), FF 92.4 mph",0,0,,1,2,2.0,2026-08-03 A: 1.0IP 2K,,,,,,,,,
10,Bubba Chandler,696149,PIT,R,MIL,PIT@MIL,6:40 PM CT,2026-08-03T23:40:00Z,ok,official,4.56354411235955,20,2.2222222222222223,season_start_est,starter,22.18166864607995,24.817469543465783,4.112213703649927,4.049173360270363,1.9963501781471953,9,9,1.0,20,,20,4.9,0.86,8.0,,medium,high_bb,0.9,,4.666666666666667,8.4,5.0,4.259307838202247,0.3,18.258426966292134,0.2593664599067125,10.112359550561798,recent,0.9433203571636677,patient,0.9605331460674157,0.9782516853932585,elevated,986.0,820.0,"668930,694192,592885,661388,641343,683734,669003,666152,687401",Brice Turang; Jackson Chourio; Christian Yelich; William Contreras; Jake Bauers; Andrew Vaughn; Garrett Mitchell; David Hamilton; Joey Ortiz,,23.400000663022986,98.52424242424242,FF,avg,False,,savant+statcast,False,,4,0.8,elite,avg,-0.3183313539200512,3.9232416797878145,,"arsenal K% 22.2 (avg solo, -0.3 vs lg, +3.9 vs opp K%, opp K% 18.3; slate #4/15 elite); stuff whiff 23.4% (avg), FF 98.5 mph",2,9,4.5,0,0,,2026-07-11 H: 4.2IP 6K; 2025-09-07 H: 2.2IP 3K,2.0,9.0,40.0,6.0,0.0,14.0,.412,1.029,22.5
