batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Andrew Pinckney,687605,9,R,WSH,Shota Imanaga,CHC,L,CHC@WSH,5:45 PM CT,official,0.5,vs_lhp,50.0,50.0,0.719,0.474,113.75,113.75,True,26.343922480252953,1
Brett Bateman,703520,2,L,TOR,Patrick Sandoval,BOS,L,BOS@TOR,6:07 PM CT,official,0.4,vs_lhp,0.0,23.1,0.275,0.221,88.75,88.75,True,31.139157307194875,2
Jonah Bride,681146,8,R,TEX,Ryan Johnson,LAA,R,TEX@LAA,8:38 PM CT,prior:2026-08-10,0.3333333333333333,vs_rhp,0.0,66.7,0.229,0.109,72.08333333333333,72.08333333333333,True,18.954607010023587,3
Ronny Simon,682927,6,S,PIT,Eury Pérez,MIA,R,PIT@MIA,5:40 PM CT,official,0.3333333333333333,vs_rhp,0.0,22.2,0.327,0.307,72.08333333333333,72.08333333333333,True,0.0,4
Yordan Alvarez,670541,2,L,HOU,Carson Whisenhunt,SF,L,HOU@SF,8:45 PM CT,prior:2026-08-10,0.2605042016806723,vs_lhp,18.0,53.8,0.464,0.332,66.97979516806723,71.51583508403361,False,13.599536607970341,5
Shohei Ohtani,660271,1,L,LAD,Michael Wacha,KC,R,KC@LAD,9:10 PM CT,prior:2026-08-10,0.29044117647058826,vs_rhp,16.5,52.3,0.408,0.297,65.80630514705882,67.2948713235294,False,25.181064207525537,6
Bobby Witt Jr.,677951,2,R,KC,Blake Snell,LAD,L,KC@LAD,9:10 PM CT,prior:2026-08-10,0.31,vs_lhp,11.9,52.5,0.382,0.302,64.6565625,64.1734375,False,10.92472779745507,7
Mike Trout,545361,2,R,LAA,Cody Bradford,TEX,L,TEX@LAA,8:38 PM CT,prior:2026-08-10,0.2916666666666667,vs_lhp,17.1,47.8,0.39,0.255,63.55041666666667,64.09458333333333,False,24.47000800320128,8
Freddie Freeman,518692,3,L,LAD,Michael Wacha,KC,R,KC@LAD,9:10 PM CT,prior:2026-08-10,0.3242320819112628,vs_rhp,9.0,43.0,0.38,0.303,62.75758319112628,60.60722909556314,False,11.699244629950117,9
Osleivis Basabe,678545,5,R,SF,Hunter Brown,HOU,R,HOU@SF,8:45 PM CT,prior:2026-08-10,0.36,vs_rhp,13.3,36.7,0.301,0.253,62.7040625,57.21843750000001,False,6.314840823970037,10
Brady House,691781,3,R,WSH,Shota Imanaga,CHC,L,CHC@WSH,5:45 PM CT,official,0.3333333333333333,vs_lhp,12.1,47.1,0.327,0.257,62.663645833333334,59.39385416666667,False,19.580196286319346,11
Drake Baldwin,686948,1,L,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,official,0.2907488986784141,vs_rhp,13.9,51.2,0.376,0.279,62.61926486784141,62.97306993392071,False,16.09759467156946,12
Griffin Conine,665052,3,L,MIA,Paul Skenes,PIT,R,PIT@MIA,5:40 PM CT,official,0.2809917355371901,vs_rhp,15.8,53.7,0.368,0.264,62.35011105371902,63.31364927685951,False,39.50255769842351,13
Jordan Walker,691023,4,R,STL,Cristopher Sánchez,PHI,L,PHI@STL,6:45 PM CT,prior:2026-08-10,0.2972972972972973,vs_lhp,13.3,47.6,0.355,0.276,61.34847972972973,60.71861486486486,False,19.9123403706411,14
Riley Greene,682985,4,L,DET,Tanner Bibee,CLE,R,CLE@DET,5:40 PM CT,official,0.2910958904109589,vs_rhp,14.6,48.3,0.362,0.258,61.326151541095896,61.15823202054795,False,26.212347567660885,15
Willson Contreras,575929,4,R,BOS,Dylan Cease,TOR,R,BOS@TOR,6:07 PM CT,prior:2026-08-10,0.2846715328467153,vs_rhp,14.2,46.0,0.387,0.264,61.20402828467153,61.63920164233577,False,28.926315010202057,16
Jake Bauers,641343,3,L,MIL,Walker Buehler,SD,R,MIL@SD,8:40 PM CT,prior:2026-08-10,0.2767527675276753,vs_rhp,13.9,53.6,0.368,0.259,60.867151752767526,61.72576337638377,False,26.029312184474943,17
Fernando Tatis Jr.,665487,1,R,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.2857142857142857,vs_lhp,11.4,52.4,0.358,0.286,60.592678571428564,60.699464285714285,False,12.788485399950368,18
Pete Alonso,624413,2,R,BAL,Bailey Ober,MIN,R,BAL@MIN,6:40 PM CT,prior:2026-08-10,0.2572347266881029,vs_rhp,13.9,56.0,0.385,0.276,60.50347266881029,62.91923633440514,False,25.841671825837317,19
Michael Harris II,671739,4,L,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,official,0.2909090909090909,vs_rhp,11.3,50.0,0.349,0.292,60.37590909090909,59.98795454545454,False,18.585479840388913,20
Junior Caminero,691406,3,R,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.2710843373493976,vs_rhp,13.8,50.8,0.373,0.274,60.27905873493975,61.48109186746988,False,23.195118143875902,21
Luis García Jr.,671277,4,L,NYY,Bryan Woo,SEA,R,SEA@NYY,6:05 PM CT,official,0.29430379746835444,vs_rhp,12.1,45.4,0.353,0.288,60.25725474683544,59.57581487341772,False,14.695503160207938,22
Bryce Harper,547180,3,L,PHI,Andre Pallante,STL,R,PHI@STL,6:45 PM CT,prior:2026-08-10,0.2857142857142857,vs_rhp,11.5,44.5,0.389,0.273,60.01986607142857,60.06977678571428,False,18.827945350513055,23
Jackson Merrill,701538,5,L,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.30327868852459017,vs_lhp,11.7,46.9,0.331,0.258,59.61380635245902,57.855496926229506,False,26.10422581256667,24
Gabriel Moreno,672515,3,R,AZ,Tomoyuki Sugano,COL,R,COL@AZ,8:40 PM CT,prior:2026-08-10,0.30962343096234307,vs_rhp,6.9,42.2,0.371,0.296,59.587968096234306,57.61804654811716,False,12.496344086021507,25
Ben Rice,700250,2,L,NYY,Bryan Woo,SEA,R,SEA@NYY,6:05 PM CT,official,0.2631578947368421,vs_rhp,15.6,47.8,0.374,0.265,59.57766447368421,61.1810197368421,False,25.93104824143237,26
Ty France,664034,4,R,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.3023255813953488,vs_lhp,11.0,48.9,0.332,0.255,59.540995639534884,57.832841569767446,False,19.587398424464375,27
Jonathan Aranda,666018,2,L,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.3016393442622951,vs_rhp,9.9,45.3,0.356,0.266,59.48424692622951,57.95665471311476,False,24.20007195299071,28
Matt Olson,621566,3,L,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,official,0.26515151515151514,vs_rhp,15.6,50.6,0.361,0.248,59.375151515151515,60.65507575757576,False,22.620520053124398,29
Dillon Dingler,693307,3,R,DET,Tanner Bibee,CLE,R,CLE@DET,5:40 PM CT,official,0.2827586206896552,vs_rhp,11.3,44.3,0.373,0.285,59.23867456896552,59.25761853448276,False,17.243882342411503,30
Yandy Díaz,650490,1,R,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.30158730158730157,vs_rhp,6.9,48.0,0.358,0.288,59.19810515873016,57.664990079365076,False,15.994364369843296,31
Pete Crow-Armstrong,691718,1,L,CHC,Jake Irvin,WSH,R,CHC@WSH,5:45 PM CT,official,0.2754098360655738,vs_rhp,12.3,49.4,0.365,0.256,58.939108606557376,59.32986680327869,False,32.664946258388454,32
Jac Caglianone,695506,3,L,KC,Blake Snell,LAD,L,KC@LAD,9:10 PM CT,prior:2026-08-10,0.24793388429752067,vs_lhp,14.7,55.4,0.36,0.278,58.87463842975207,61.445444214876034,False,36.021744263641494,33
Dominic Canzone,686527,4,L,SEA,Ryan Weathers,NYY,L,SEA@NYY,6:05 PM CT,official,0.2708333333333333,vs_lhp,13.4,45.8,0.363,0.272,58.62083333333333,59.31666666666666,False,26.637401132848495,34
Ronald Acuña Jr.,660670,2,R,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,official,0.2619047619047619,vs_rhp,13.9,46.5,0.379,0.261,58.481413690476195,59.8818005952381,False,19.745537319556863,35
Hunter Goodman,696100,4,R,COL,Mitch Bratt,AZ,L,COL@AZ,8:40 PM CT,prior:2026-08-10,0.2777777777777778,vs_lhp,16.6,45.9,0.327,0.23,58.36246527777779,58.151701388888895,False,34.781381431816776,36
Randal Grichuk,545341,4,R,CWS,Nick Lodolo,CIN,L,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.2857142857142857,vs_lhp,10.8,47.7,0.335,0.277,58.21924107142857,57.51540178571429,False,28.533181196652997,37
Jackson Chourio,694192,2,R,MIL,Walker Buehler,SD,R,MIL@SD,8:40 PM CT,prior:2026-08-10,0.2692307692307692,vs_rhp,14.0,48.2,0.345,0.259,58.16557692307693,58.736538461538466,False,20.956786468454936,38
Elly De La Cruz,682829,1,S,CIN,Sean Burke,CWS,R,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.25,vs_rhp,14.0,51.1,0.367,0.274,58.0821875,60.2853125,False,22.338817369713656,39
Esmerlyn Valdez,699013,7,R,PIT,Eury Pérez,MIA,R,PIT@MIA,5:40 PM CT,official,0.22641509433962265,vs_rhp,24.4,50.0,0.35,0.2,57.97150943396227,61.70575471698114,False,38.99030937763332,40
